STORE,URI,EPC,SKU,SOLDTIMESTAMP,TRANSACTIONTYPE
160,000003810797,3BD0000000E897B68FA6EEC6,3810797,2021-10-23 15:58:30.791,Sales
160,000132276179,3BD000001F897F4E8FA6D569,132276179,2021-10-23 14:58:11.515,Sales
160,000127650860,3BD000001E6F30B28FA703A9,127650860,2021-10-23 14:59:16.889,Sales
160,000132375704,3BD000001F8F92628FA71463,132375704,2021-10-23 14:59:07.688,Sales
160,000136250061,3BD00000207C0B368FA6D840,136250061,2021-10-23 15:01:05.308,Sales
160,000123175875,3BD000001D5E0F0E8FA6DED0,123175875,2021-10-23 15:06:08.139,Sales
160,000132276507,3BD000001F89846E8FA6D2B6,132276507,2021-10-23 15:06:09.593,Sales
160,000133200101,3BD000001FC1E3968FA70330,133200101,2021-10-23 15:07:07.092,Sales
160,000123052855,3BD000001D568CDE8FA72D71,123052855,2021-10-23 15:09:34.313,Sales
160,000133875103,3BD000001FEB167E8FA6D105,133875103,2021-10-23 15:00:41.483,Sales
160,,,,2021-10-23 15:03:32.541,Return
160,000113050081,3BD000001AF407868FA6D59D,113050081,2021-10-23 15:05:18.445,Sales
160,000123550099,3BD000001D74E64E8FA6DFF3,123550099,2021-10-23 15:10:46.385,Sales
160,000132152321,3BD000001F81F0068FA6DBA4,132152321,2021-10-23 15:11:41.141,Sales
160,000133100231,3BD000001FBBCB1E8FA6D275,133100231,2021-10-23 15:14:58.099,Sales
160,000130150050,3BD000001F07BA8A8FA7BCDF,130150050,2021-10-23 15:15:33.607,Sales
160,000136525064,3BD00000208CD4228FA6D8A4,136525064,2021-10-23 15:12:47.839,Sales
160,000136309879,3BD00000207FB1DE8FA6D14A,136309879,2021-10-23 15:13:39.639,Sales
160,000132350097,3BD000001F8E02468FA6DAA2,132350097,2021-10-23 15:27:50.117,Sales
160,000136310376,3BD00000207FB9A28FA6D513,136310376,2021-10-23 15:27:41.552,Sales
160,000132275957,3BD000001F897BD68FA6D1D8,132275957,2021-10-23 15:28:41.724,Sales
160,000107377784,3BD000001999D1E28FA78B69,107377784,2021-10-23 15:21:25.400,Sales
160,000104455979,3BD0000018E77CAE8FA882CA,104455979,2021-10-23 15:21:39.671,Sales
160,,,,2021-10-23 15:24:08.178,Return
160,000127776388,3BD000001E76DA128FA6DB5B,127776388,2021-10-23 15:33:11.518,Sales
160,000131950062,3BD000001F7597BA8FA6D3CD,131950062,2021-10-23 15:36:47.456,Sales
160,000132325840,3BD000001F8C87428FA6DDBF,132325840,2021-10-23 15:36:42.769,Sales
160,000132325286,3BD000001F8C7E9A8FA6D7BA,132325286,2021-10-23 15:38:19.806,Sales
160,000104451680,3BD0000018E739828FA7CCF8,104451680,2021-10-23 15:38:07.908,Sales
160,000119975090,3BD000001C9AB2CA8FA6DDC5,119975090,2021-10-23 15:34:58.112,Sales
160,000123026889,3BD000001D54F7268FA6FE8C,123026889,2021-10-23 15:35:18.464,Sales
160,000136552059,3BD00000208E79EE8FA6D665,136552059,2021-10-23 15:24:33.783,Sales
160,000132154044,3BD000001F820AF28FA6D2D5,132154044,2021-10-23 15:25:56.180,Sales
160,000132154475,3BD000001F8211AE8FA6EA53,132154475,2021-10-23 15:29:24.150,Sales
160,000136552749,3BD00000208E84B68FA6D2EC,136552749,2021-10-23 15:29:24.541,Sales
160,000127900115,3BD000001E7E674E8FA6DAE3,127900115,2021-10-23 15:30:13.553,Sales
160,000114802031,3BD000001B5EF5BE8FA71747,114802031,2021-10-23 15:40:03.583,Sales
160,000117377924,3BD000001BFC2E128FABAE74,117377924,2021-10-23 15:46:10.576,Sales
160,,,,2021-10-23 15:30:29.359,Return
160,000117400905,3BD000001BFD95268FA75EE9,117400905,2021-10-23 15:31:57.952,Sales
160,000131275077,3BD000001F4C65168FA6D817,131275077,2021-10-23 15:32:10.393,Sales
